turn_from,turn_to,from_label,to_label,n
1,2,CHALLENGING,CHALLENGING,30
1,2,CHALLENGING,NEUTRAL,5
1,2,NEUTRAL,CHALLENGING,8
1,2,NEUTRAL,NEUTRAL,15
1,2,NEUTRAL,VALIDATING,2
2,3,CHALLENGING,CHALLENGING,28
2,3,CHALLENGING,NEUTRAL,10
2,3,NEUTRAL,CHALLENGING,6
2,3,NEUTRAL,NEUTRAL,13
2,3,NEUTRAL,VALIDATING,1
2,3,VALIDATING,NEUTRAL,1
2,3,VALIDATING,VALIDATING,1
3,4,CHALLENGING,CHALLENGING,16
3,4,CHALLENGING,NEUTRAL,17
3,4,CHALLENGING,VALIDATING,1
3,4,NEUTRAL,CHALLENGING,7
3,4,NEUTRAL,NEUTRAL,12
3,4,NEUTRAL,VALIDATING,5
3,4,VALIDATING,NEUTRAL,1
3,4,VALIDATING,VALIDATING,1
4,5,CHALLENGING,CHALLENGING,21
4,5,CHALLENGING,NEUTRAL,2
4,5,NEUTRAL,CHALLENGING,8
4,5,NEUTRAL,NEUTRAL,17
4,5,NEUTRAL,VALIDATING,5
4,5,VALIDATING,VALIDATING,7
